Speech_ID,Speaker,Date,Location 1,Location 2,Event type,Comment,File
1,HC,01/08/16,Omaha,Nebraska,,Use,01_HC_20160801_Omaha.txt
2,HC,03/08/16,Commerce City,Colorado,Speech,Use,02_HC_20160803_Colorado.txt
3,HC,04/08/16,Las Vegas,Nevada,Speech,Use,03_HC_20160804_Vegas.txt
4,HC,05/08/16,,Washington DC,Speech,Use,04_HC_20160805_Wash.txt
5,HC,08/08/16,St. Petersburg,Florida,Speech,Use,05_HC_20160808_StPetes.txt
6,HC,11/08/16,Warren,Michigan,Speech,Use,06_HC_20160811_Warren.txt
7,HC,25/08/16,Reno,Nevada,Speech,Use,07_HC_20160825_Reno.txt
8,HC,31/08/16,Cincinnati,Ohio,Speech,Use,08_HC_20160831_Cin.txt
9,HC,08/09/16,Kansas City,Missouri,Speech,Use,09_HC_20160908_Charl.txt
10,HC,08/09/16,Charlotte ,North Carolina,Rally,Use,10_HC_20160908_KC.txt
11,HC,15/09/16,,Congressional Hispanic Caucus Institute ,Speech,Use,11_HC_20160915_CHCI.txt
12,HC,16/09/16,,Washington DC,Speech,Use,12_HC_20160916_Greens.txt
13,HC,16/09/16,,Greensboro NC,Speech,Use,13_HC_20160916_Wash.txt
14,HC,17/09/16,,Washington DC,Dinner,Use,14_HC_20160917_Wash.txt
15,HC,19/09/16,Philadelphia,,Speech,Use,15_HC_20160919_Phil.txt
16,HC,21/09/16,Orlando,Florida,Speech,Use,16_HC_20160921_Orl.txt
17,HC,30/09/16,Port St. Lucie,Florida,Speech,Use,17_HC_20160930_PSL.txt
18,HC,02/10/16,Charlotte ,North Carolina,Speech,Use,18_HC_20161002_Charl.txt
19,HC,11/10/16,Miami,Florida,Rally,Use,19_HC_20161011_Fl.txt
20,HC,31/10/16,Cincinnati,Ohio,Rally,Use,20_HC_20161031_Cin.txt
21,DT,31/08/16,Phoenix,Everett,,Use,21_DT_20160831_Everett.txt
22,DT,31/08/16,Phoenix,Arizona,Speech,Use,22_DT_20160831_Phoenix.txt
23,DT,07/09/16,,Philadelphia,,Use,23_DT_20160907_Philadelphia.txt
24,DT,15/09/16,New York City,New York,Speech,Use,24_DT_20160915_NY.txt
25,DT,03/10/16,,Colorado,,Use,25_DT_20161003_Colorado.txt
26,DT,04/10/16,,Arizona,Speech,Use,26_DT_20161004_Arizona.txt
27,DT,05/10/16,,Nevada,Speech,Use,27_DT_20161005_Nevada.txt
28,DT,12/10/16,,Columbus,Speech,Use,28_DT_20161012_Columbus.txt
29,DT,13/10/16,,Florida,Speech,Use,29_DT_20161013_Florida.txt
30,DT,15/10/16,,New Hampshire,Speech,Use,30_DT_20161015_NewHampshire.txt
31,DT,17/10/16,,Wisconsin,Speech,Use,31_DT_20161017_Wisconsin.txt
32,DT,18/10/16,,Colorado,Speech,Use,32_DT_20161018_Colorado.txt
33,DT,21/10/16,,Pennsylvania,Speech,Use,33_DT_20161021_Pennsylvania.txt
34,DT,25/10/16,,Florida,Speech,Use,34_DT_20161025_Florida.txt
35,DT,26/10/16,Charlotte,North Carolina,Speech,Use,35_DT_20161026_Charlotte.txt
36,DT,27/10/16,,Ohio,Speech,Use,36_DT_20161027_Ohio.txt
37,DT,29/10/16,,Arizona,Speech,Use,37_DT_20161029_Arizona.txt
38,DT,29/10/16,,Colarado,Speech,Use,38_DT_20161029_Colorado.txt
39,DT,30/10/16,,Nevada,Speech,Use,39_DT_20161030_Nevada.txt
40,DT,31/10/16,,Michigan,Speech,Use,40_DT_20161031_Michigan.txt
41,DT,065/10/2016,Henderson,Nevada,Speech,Ignore,Ignore
42,DT,21/07/16,RNC,,Speech,Was this actually given?,Was this actually given?
